ID_fat_studio_det,id_fatt_studio,articolo,qta,prezzo,data_consegna
345,346,37,5820,0.5700,"09/14/17 00:00:00"
346,347,37,13830,0.5800,"09/06/17 00:00:00"
347,348,33,2000,7.3000,"09/18/17 00:00:00"
348,349,37,6560,0.5700,"09/18/17 00:00:00"
349,350,37,5000,0.5700,"09/21/17 00:00:00"
350,351,33,1000,7.5700,"09/25/17 00:00:00"
351,352,37,6080,0.5700,"09/25/17 00:00:00"
352,353,37,5000,0.5700,"09/28/17 00:00:00"
353,354,46,300,5.1000,"10/02/17 00:00:00"
354,355,33,1000,7.4500,"10/03/17 00:00:00"
355,356,37,6140,0.5700,"10/02/17 00:00:00"
356,357,37,5840,0.5700,"10/05/17 00:00:00"
357,358,46,400,5.1000,"10/09/17 00:00:00"
358,359,37,6200,0.5700,"10/09/17 00:00:00"
359,360,33,2010,6.9000,"10/12/17 00:00:00"
360,361,150,2045,12.7000,"10/13/17 00:00:00"
361,362,45,23475,4.1700,"10/16/17 00:00:00"
362,363,46,150,5.1000,"10/16/17 00:00:00"
363,364,33,1000,7.4600,"10/16/17 00:00:00"
364,365,46,200,5.1000,"10/23/17 00:00:00"
365,366,46,300,5.1000,"11/06/17 00:00:00"
366,367,33,2000,6.0000,"11/06/17 00:00:00"
367,368,59,750,5.5000,"11/07/17 00:00:00"
368,369,33,2000,6.8000,"11/09/17 00:00:00"
369,370,33,1000,7.0500,"11/13/17 00:00:00"
370,371,46,250,5.1000,"11/13/17 00:00:00"
371,372,150,1784,12.7000,"11/15/17 00:00:00"
372,373,150,4206,12.7000,"11/15/17 00:00:00"
373,374,46,150,5.1000,"11/20/17 00:00:00"
374,375,70,50,16.2000,"11/21/17 00:00:00"
375,376,8,26010,0.5000,"11/29/17 00:00:00"
376,377,46,150,5.1000,"12/04/17 00:00:00"
377,378,45,24250,4.1700,"12/05/17 00:00:00"
378,379,150,4221,12.7000,"12/06/17 00:00:00"
379,380,150,2062,12.7000,"12/06/17 00:00:00"
380,381,46,1250,5.1000,"12/07/17 00:00:00"
381,382,14,648,9.3000,"12/07/17 00:00:00"
382,383,33,2000,6.5000,"12/11/17 00:00:00"
383,384,37,24512,0.5000,"12/09/17 00:00:00"
384,385,33,1000,6.9900,"12/12/17 00:00:00"
385,386,37,10140,0.5800,"12/12/17 00:00:00"
386,387,33,13500,6.0700,"12/13/17 00:00:00"
388,389,14,480,9.9000,"12/19/17 00:00:00"
389,390,103,5625,2.0300,"12/20/17 00:00:00"
390,391,46,100,5.1000,"12/21/17 00:00:00"
392,393,33,1000,6.7500,"12/27/17 00:00:00"
393,394,183,470,3.0000,"12/29/17 00:00:00"
394,395,46,150,5.1000,"01/02/18 00:00:00"
395,396,59,750,5.4500,"01/08/18 00:00:00"
396,397,33,4000,6.0000,"01/10/18 00:00:00"
397,398,150,2128,12.7000,"01/10/18 00:00:00"
398,399,150,2186,12.7000,"01/10/18 00:00:00"
399,400,45,22475,4.1700,"01/15/18 00:00:00"
400,401,183,511,3.0000,"01/15/18 00:00:00"
401,402,59,750,5.3800,"01/17/18 00:00:00"
402,403,33,1675,5.7500,"01/22/18 00:00:00"
403,404,46,100,5.1000,"01/29/18 00:00:00"
404,405,183,426,3.0000,"01/24/18 00:00:00"
405,406,183,506,3.0000,"01/31/18 00:00:00"
406,407,46,100,5.1000,"02/05/18 00:00:00"
407,408,183,508,3.0000,"02/07/18 00:00:00"
408,409,150,2266,12.7000,"02/09/18 00:00:00"
409,410,183,450,3.0000,"02/14/18 00:00:00"
410,411,37,25120,0.3900,"02/17/18 00:00:00"
411,412,183,510,3.0000,"02/21/18 00:00:00"
412,413,37,25420,0.4930,"02/20/18 00:00:00"
413,414,33,2000,6.1000,"02/26/18 00:00:00"
414,415,183,510,3.0000,"03/02/18 00:00:00"
415,416,46,100,5.1000,"03/05/18 00:00:00"
416,417,183,501,3.0000,"03/07/18 00:00:00"
417,418,45,1000,4.3000,"03/08/18 00:00:00"
418,419,150,2304,12.7000,"03/09/18 00:00:00"
419,420,33,1000,6.3000,"03/12/18 00:00:00"
420,421,184,25340,0.4880,"03/13/18 00:00:00"
421,422,183,500,3.0000,"03/16/18 00:00:00"
422,423,183,450,3.0000,"03/21/18 00:00:00"
423,424,45,1500,3.9000,"03/22/18 00:00:00"
424,425,38,53660,0.3450,"03/26/18 00:00:00"
425,426,21,5000,0.7700,"03/27/18 00:00:00"
426,427,38,27680,0.3450,"03/27/18 00:00:00"
427,428,183,285,3.0000,"03/29/18 00:00:00"
428,429,183,215,3.0000,"03/30/18 00:00:00"
429,430,38,29240,0.3450,"04/02/18 00:00:00"
430,431,59,750,5.0700,"04/04/18 00:00:00"
431,432,38,55060,0.3450,"04/03/18 00:00:00"
432,433,38,50840,0.3450,"04/09/18 00:00:00"
433,434,45,1000,4.0300,"04/12/18 00:00:00"
434,435,38,27660,0.3450,"04/10/18 00:00:00"
435,436,8,25720,0.3600,"04/12/18 00:00:00"
436,437,184,24400,0.4600,"04/15/18 00:00:00"
437,438,183,250,3.0000,"04/18/18 00:00:00"
438,439,38,52820,0.3450,"04/16/18 00:00:00"
439,440,38,27500,0.3450,"04/17/18 00:00:00"
440,441,21,6000,0.7700,"04/17/18 00:00:00"
441,442,8,25270,0.3650,"04/18/18 00:00:00"
442,443,103,22500,2.0400,"04/19/18 00:00:00"
443,444,183,295,3.2000,"04/20/18 00:00:00"
444,445,58,3000,7.6000,"04/24/18 00:00:00"
445,446,184,26940,0.4600,"04/23/18 00:00:00"
446,447,38,55000,0.3450,"04/23/18 00:00:00"
447,448,38,25440,0.3450,"04/25/18 00:00:00"
448,449,8,23940,0.3650,"04/25/18 00:00:00"
449,450,33,2000,6.7900,"05/02/18 00:00:00"
450,451,38,55760,0.3450,"04/30/18 00:00:00"
451,452,59,750,5.0800,"05/03/18 00:00:00"
452,453,38,26920,0.3450,"05/01/18 00:00:00"
453,454,184,25960,0.4600,"05/02/18 00:00:00"
454,455,8,24640,0.3450,"05/02/18 00:00:00"
455,456,183,250,3.0000,"05/04/18 00:00:00"
456,457,38,55960,0.3450,"05/07/18 00:00:00"
457,458,183,500,3.0000,"05/09/18 00:00:00"
458,459,184,25500,0.4600,"05/08/18 00:00:00"
459,460,8,25950,0.3450,"05/09/18 00:00:00"
460,461,38,25600,0.3450,"05/10/18 00:00:00"
461,462,38,53140,0.3450,"05/14/18 00:00:00"
462,463,38,25840,0.3450,"05/15/18 00:00:00"
463,464,184,25700,0.4600,"05/15/18 00:00:00"
464,465,21,6000,0.7700,"05/22/18 00:00:00"
465,466,38,54480,0.3450,"05/21/18 00:00:00"
466,467,38,25840,0.3450,"05/22/18 00:00:00"
467,468,184,25820,0.4600,"05/23/18 00:00:00"
468,469,37,25520,0.3700,"05/23/18 00:00:00"
469,470,38,53340,0.3450,"05/28/18 00:00:00"
470,471,38,27660,0.3450,"05/29/18 00:00:00"
471,472,33,1000,7.0500,"05/29/18 00:00:00"
472,473,184,26700,0.4600,"05/30/18 00:00:00"
473,474,45,750,3.5500,"06/01/18 00:00:00"
474,475,37,26020,0.3800,"06/02/18 00:00:00"
475,476,45,2000,3.0200,"06/06/18 00:00:00"
476,477,38,26820,0.3450,"06/05/18 00:00:00"
477,478,183,140,3.2000,"06/07/18 00:00:00"
