id_cerca,compratore,articolo,note
616,219,21,
617,220,21,
618,58,21,
619,222,21,
620,223,21,
621,224,21,
625,78,32,
626,25,32,
627,25,20,
628,62,32,
629,62,20,
630,29,32,
631,29,20,
632,78,20,
633,200,32,
634,200,20,
635,12,32,
636,12,20,
637,4,32,
638,4,20,
639,5,32,
640,5,20,
641,63,32,
642,63,20,
643,57,32,
644,57,20,
645,100,32,
646,100,20,
647,74,32,
648,74,20,
649,96,32,
650,96,20,
651,113,32,
652,113,20,
653,114,32,
654,114,20,
655,68,32,
656,68,20,
657,97,20,
658,97,32,
659,225,32,
660,225,20,
661,227,32,
662,227,20,
663,226,32,
664,226,20,
667,219,41,
668,196,41,
669,197,41,
670,214,41,
671,215,41,
672,216,41,
673,211,41,
674,210,41,
675,209,41,
676,220,41,
677,58,41,
678,17,41,
679,183,41,
680,222,41,
681,101,41,
682,95,41,
683,194,41,
684,224,41,
685,199,41,
686,223,41,
687,115,41,
688,192,41,
689,105,41,
690,119,41,
691,229,21,
692,229,41,
693,3,21,
694,3,41,
695,231,62,
696,231,89,
697,231,55,
698,231,86,
699,231,10,
700,231,60,
701,232,62,
702,232,89,
703,232,55,
704,232,86,
705,232,10,
706,232,60,
707,233,10,
708,233,60,
709,233,62,
710,233,89,
711,233,55,
712,233,86,
713,234,62,
714,234,89,
715,234,55,
1778,324,26,
1779,291,38,
1780,291,40,
1781,291,26,
1782,298,38,
1783,298,26,
1784,298,40,
1785,325,38,
1786,325,26,
1787,325,40,
1788,326,38,
1789,326,40,
1790,326,26,
1791,327,38,
1792,327,40,
1793,327,26,
1794,328,38,
1795,328,40,
1796,328,26,
1797,304,38,
1798,304,40,
1799,304,26,
1800,329,38,
1801,329,40,
1802,329,26,
1803,330,38,
1804,330,40,
1805,330,26,
1806,331,38,
1807,331,40,
1808,331,26,
1809,332,38,
1810,332,40,
1811,332,26,
1812,127,26,
1813,333,38,
1814,333,40,
1815,333,26,
1816,334,38,
1817,334,40,
1818,334,26,
1819,335,38,
1820,335,40,
1821,335,26,
1822,336,38,
1823,336,40,
1824,336,26,
1825,116,38,
1826,116,40,
1827,116,26,
1828,198,38,
1829,198,40,
1830,198,26,
1831,337,38,
1832,337,40,
1833,337,26,
1834,338,38,
1835,338,40,
1836,338,26,
1837,339,38,
1838,339,40,
1839,339,26,
1840,340,38,
1841,340,40,
1842,340,26,
1843,341,38,
1844,341,40,
1845,341,26,
1846,342,38,
1847,342,40,
1848,342,26,
1849,343,40,
1850,343,26,
1851,343,38,
1852,344,38,
1853,344,40,
1854,344,26,
1855,345,38,
1856,345,26,
1857,345,40,
1858,345,22,
1859,346,40,
1860,347,38,
1861,347,40,
1862,347,26,
1863,348,38,
1864,348,40,
1865,348,26,
1866,349,38,
1867,349,26,
1868,349,40,
1869,350,38,
1870,350,26,
1871,350,40,
1872,10,8,
1873,311,37,
1874,311,8,
1875,116,37,
1876,116,8,
1877,46,37,
1878,46,8,
1879,188,37,
1880,188,8,
1881,68,37,
1882,68,8,
1883,313,37,
1884,313,8,
1885,351,37,
1886,351,8,
1887,294,38,
1888,294,8,
1889,352,37,
1890,352,8,
1891,330,37,
1892,330,8,
1893,353,37,
1894,353,8,
1895,354,37,
1896,354,8,
1897,355,37,
1898,355,8,
1899,356,37,
1900,356,8,
1901,358,37,
1902,358,8,
1903,161,111,
1904,161,112,
1905,311,62,
1906,311,89,
1907,311,10,
1908,311,55,
1909,311,60,
1910,155,10,
1911,155,55,
1912,155,62,
1913,155,86,
1914,155,60,
1915,359,10,
1916,359,55,
1917,359,62,
1918,359,112,
1919,142,112,
1920,142,111,
1921,135,112,
1922,135,111,
1923,311,112,
1924,311,111,
1925,311,86,
1926,13,112,
1927,13,111,
1928,140,112,
1929,140,111,
1930,19,112,
1931,19,111,
1932,160,112,
1933,160,111,
1934,162,112,
1935,162,111,
1936,150,112,
1937,150,111,
1938,155,112,
1939,155,111,
1940,144,112,
1941,144,111,
1942,167,112,
1943,167,111,
1944,168,112,
1945,168,111,
1946,133,112,
1947,133,111,
1948,139,112,
1949,139,111,
1950,359,86,
1951,359,89,
1952,359,111,
1953,166,112,
1954,166,111,
893,86,34,
894,86,50,
895,86,18,
896,86,65,
897,86,76,
898,86,31,
899,86,56,
900,86,30,
901,86,64,
902,86,71,
903,86,75,
904,114,80,
905,114,34,
906,114,50,
907,114,18,
908,114,65,
909,114,76,
910,114,31,
911,114,56,
912,114,30,
913,114,64,
914,114,71,
915,114,75,
916,250,80,
917,250,34,
918,250,50,
919,250,18,
920,250,65,
921,250,76,
922,250,31,
923,250,56,
924,250,30,
925,250,64,
926,250,71,
927,250,75,
928,251,80,
929,251,34,
930,251,50,
931,251,18,
932,251,65,
933,251,76,
934,251,31,
935,251,56,
936,251,30,
937,251,64,
938,251,71,
939,251,75,
940,252,80,
941,252,34,
942,252,50,
943,252,18,
944,252,65,
945,252,76,
946,252,31,
947,252,56,
948,252,30,
949,252,64,
950,252,71,
951,252,75,
952,253,80,
953,253,34,
954,253,50,
955,253,18,
956,253,65,
957,253,76,
958,253,31,
959,253,56,
960,253,30,
961,253,64,
962,253,71,
963,253,75,
964,254,80,
965,254,34,
966,254,50,
967,254,18,
968,254,65,
969,254,76,
970,254,31,
971,254,56,
972,254,30,
973,254,64,
974,254,71,
975,254,75,
976,255,80,
977,255,34,
978,255,50,
979,255,18,
980,255,65,
981,255,76,
982,255,31,
983,255,56,
984,255,30,
985,255,64,
986,255,71,
987,255,75,
988,256,80,
989,256,34,
990,256,50,
991,256,18,
992,256,65,
993,256,76,
994,256,31,
995,256,56,
996,256,30,
997,256,64,
998,256,71,
999,256,75,
1000,250,92,
1001,250,63,
1002,1,92,
1003,1,63,
1004,111,92,
1005,111,63,
1006,18,92,
1007,18,63,
1008,103,92,
1009,103,63,
1010,109,92,
1011,109,63,
1012,257,92,
1013,257,63,
1014,143,25,
1015,143,70,
1016,143,49,
1017,7,70,
1019,7,49,
1020,161,25,
1021,161,70,
1022,161,49,
1023,14,25,
1024,14,70,
1025,14,49,
1026,142,25,
1027,142,70,
1028,142,49,
1029,40,25,
1030,40,70,
1031,40,49,
1032,19,25,
1033,19,70,
1034,19,49,
1035,13,70,
1037,13,49,
1038,15,70,
1039,15,49,
1040,84,25,
1041,84,70,
1042,84,49,
1043,69,25,
1044,69,70,
1045,69,49,
1046,162,25,
1047,162,70,
1048,162,49,
1049,150,25,
1050,150,70,
1051,150,49,
1052,155,25,
1053,155,70,
1054,155,49,
1055,167,25,
1056,167,70,
1057,167,49,
1058,12,25,
1059,12,70,
1060,12,49,
1061,158,25,
1062,158,70,
1063,158,49,
1064,166,25,
1065,166,70,
1066,166,49,
1067,147,49,
1068,147,25,
1069,147,70,
1070,146,25,
1071,146,70,
1072,146,49,
1073,176,25,
1074,176,70,
1075,176,49,
1076,169,25,
1077,169,70,
1078,169,49,
1079,148,49,
1080,148,25,
1081,148,70,
1082,165,25,
1083,165,70,
1084,165,49,
1085,172,49,
1086,172,25,
1087,172,70,
1088,135,25,
1089,135,70,
1090,135,49,
1091,156,49,
1092,156,25,
1093,156,70,
1094,49,49,
1095,49,25,
1096,49,70,
1097,157,49,
1098,157,25,
1099,157,70,
1100,72,49,
1101,72,25,
1102,72,70,
1103,177,49,
1104,177,25,
1105,177,70,
1106,189,49,
1107,189,25,
1108,189,70,
1109,149,49,
1110,149,25,
1111,149,70,
1115,153,49,
1116,153,25,
1117,153,70,
1121,175,49,
1122,175,25,
1123,175,70,
1124,164,49,
1125,164,25,
1126,164,70,
1127,134,49,
1128,134,25,
1129,134,70,
1130,180,49,
1131,180,25,
1132,180,70,
1133,190,49,
1134,190,25,
1135,190,70,
1136,181,49,
1137,181,25,
1138,181,70,
1139,258,49,
1140,258,25,
1141,258,70,
1142,259,25,
1143,259,70,
1144,259,49,
1145,260,49,
1146,260,25,
1147,260,70,
1148,138,49,
1149,138,25,
1150,138,70,
1151,262,25,
1152,262,70,
1153,262,49,
1154,263,49,
1155,263,25,
1156,263,70,
1157,264,49,
1158,264,25,
1159,264,70,
1160,132,49,
1161,132,25,
1162,132,70,
1163,265,25,
1164,265,70,
1165,265,49,
1166,174,49,
1167,174,25,
1168,174,70,
1169,266,49,
1170,266,25,
1171,266,70,
1172,267,25,
1173,267,70,
1174,267,49,
1175,268,25,
1176,268,70,
1177,268,49,
1178,159,25,
1179,159,70,
1180,159,49,
1181,269,25,
1182,269,70,
1183,269,49,
1184,92,25,
1185,92,70,
1186,92,49,
1187,219,72,
1188,219,29,
1189,219,54,
1190,219,53,
1191,219,52,
1192,219,44,
1193,219,28,
1194,219,17,
1195,233,72,
1196,233,29,
1197,233,54,
1198,233,53,
1199,233,52,
1200,233,44,
1201,233,28,
1202,233,17,
1203,76,72,
1204,76,29,
1205,76,54,
1206,76,53,
1207,76,52,
1208,76,44,
1209,76,28,
1210,76,17,
1211,57,72,
1212,57,29,
1213,57,54,
1214,57,53,
1215,57,52,
1216,57,44,
1217,57,28,
1218,57,17,
1219,33,72,
1220,33,29,
1221,33,54,
1222,33,53,
1223,33,52,
1224,33,44,
1225,33,28,
1226,33,17,
1227,29,72,
1228,29,29,
1229,29,54,
1230,29,53,
1231,29,52,
1232,29,44,
1233,29,28,
1234,29,17,
1235,86,72,
1236,86,29,
1237,86,54,
1238,86,53,
1239,86,52,
1240,86,44,
1241,86,28,
1242,86,17,
1243,39,72,
1244,39,29,
1245,39,54,
1246,39,53,
1247,39,52,
1248,39,44,
1249,39,28,
1250,39,17,
1251,32,72,
1252,32,29,
1253,32,54,
1254,32,53,
1255,32,52,
1256,32,44,
1257,32,28,
1258,32,17,
1259,255,72,
1260,255,29,
1261,255,54,
1262,255,53,
1263,255,52,
1264,255,44,
1265,255,28,
1266,255,17,
1267,12,72,
1268,12,53,
1269,12,52,
1270,12,28,
1271,12,44,
1272,148,72,
1273,148,54,
1274,148,29,
1275,148,53,
1276,148,52,
1277,148,44,
1278,148,28,
1279,148,17,
1280,4,72,
1281,4,54,
1282,4,53,
1283,4,52,
1284,4,44,
1285,4,28,
1286,4,17,
1287,225,72,
1288,225,29,
1289,225,54,
1290,225,53,
1291,225,52,
1292,225,44,
1293,225,28,
1294,225,17,
1295,78,72,
1296,78,29,
1297,78,54,
1298,78,53,
1299,78,52,
1300,78,44,
1301,78,28,
1302,78,17,
1303,77,72,
1304,77,29,
1305,77,54,
1306,77,53,
1307,77,52,
1308,77,44,
1309,77,28,
1310,77,17,
1311,69,72,
1312,69,29,
1313,69,54,
1314,69,53,
1315,69,52,
1316,69,44,
1317,69,28,
1318,69,17,
1319,5,72,
1320,5,29,
1321,5,54,
1322,5,53,
1323,5,52,
1324,5,44,
1325,5,28,
1326,5,17,
1327,15,72,
1328,15,29,
1329,15,53,
1330,15,52,
1331,15,44,
1332,15,28,
1333,15,17,
1334,92,72,
1335,92,29,
1336,92,54,
1337,92,53,
1338,92,52,
1339,92,44,
1340,92,28,
1341,92,17,
1342,256,72,
1343,256,29,
1344,256,54,
1345,256,53,
1346,256,52,
1347,256,44,
1348,256,28,
1349,256,17,
1350,37,72,
1351,37,29,
1352,37,54,
1353,37,53,
1354,37,52,
1355,37,44,
1356,37,28,
1357,37,17,
1358,45,72,
1359,45,29,
1360,45,54,
1361,45,53,
1362,45,52,
1363,45,44,
1364,45,28,
1365,45,17,
1366,74,72,
1367,74,29,
1368,74,54,
1369,74,53,
1370,74,52,
1371,74,44,
1372,74,28,
1373,74,17,
1374,158,72,
1375,158,29,
1376,158,54,
1377,158,53,
1378,158,52,
1379,158,44,
1380,158,28,
1381,158,17,
1382,79,72,
1383,79,29,
1384,79,54,
1385,79,53,
1386,79,52,
1387,79,44,
1388,79,28,
1389,79,17,
1390,162,72,
1391,162,29,
1392,162,54,
1393,162,53,
1394,162,52,
1395,162,44,
1396,162,28,
1397,162,17,
1398,226,72,
1399,226,29,
1400,226,54,
1401,226,53,
1402,226,52,
1403,226,44,
1404,226,28,
1405,226,17,
1406,49,72,
1407,49,29,
1408,49,54,
1409,49,53,
1410,49,52,
1411,49,44,
1412,49,28,
1413,49,17,
1414,157,72,
1415,157,29,
1416,157,54,
1417,157,53,
1418,157,52,
1419,157,44,
1420,157,28,
1421,157,17,
1422,72,72,
1423,72,29,
1955,147,112,
1956,147,111,
1957,173,112,
1958,173,111,
1959,173,28,
1960,47,112,
1961,47,111,
1962,148,112,
1963,148,111,
1964,146,112,
1965,146,111,
1966,363,10,
1967,363,55,
1968,363,62,
1969,363,89,
1970,363,86,
1971,363,112,
1972,363,111,
1973,132,112,
1974,132,111,
1975,174,112,
1976,174,111,
1977,176,112,
1978,176,111,
1979,165,112,
1980,165,111,
1981,169,112,
1982,169,111,
1983,172,112,
1984,172,111,
1985,170,112,
1986,170,111,
1987,154,112,
1988,154,111,
1989,156,111,
1990,156,112,
1991,163,111,
1992,163,112,
1993,151,62,
1994,151,89,
1995,151,55,
1996,151,10,
1997,151,86,
1998,151,112,
1999,151,111,
2000,151,104,
2001,76,112,
2002,76,111,
2003,175,112,
2004,175,111,
2005,143,112,
2006,143,111,
2007,157,112,
2008,157,111,
2009,164,112,
2010,164,111,
2011,149,112,
2012,149,111,
2013,138,112,
2014,138,111,
2017,145,112,
2018,145,111,
2019,159,112,
2020,159,111,
2021,153,112,
2022,153,111,
2023,152,112,
2024,152,111,
2025,365,54,
2026,365,53,
2027,365,52,
2028,365,44,
2029,365,19,
2030,365,28,
2031,365,17,
2032,365,34,
2033,365,80,
2034,365,18,
2035,365,62,
2036,365,55,
2037,365,112,
2038,365,86,
2039,365,10,
2040,365,60,
2041,365,111,
2042,365,110,
2043,366,92,
2044,367,92,
2045,316,21,
2046,369,38,
2047,369,26,
2048,369,40,
2049,370,54,
2050,370,25,
2051,370,53,
2052,370,52,
2053,370,44,
2054,370,19,
2055,370,28,
2056,370,17,
2057,371,28,
2058,371,54,
2059,371,117,
2060,371,44,
2061,371,25,
2062,371,80,
2063,371,34,
2064,371,18,
2065,371,92,
2066,371,75,
2067,371,76,
2068,371,107,
2069,371,109,
2070,371,118,
2071,371,119,
2072,371,62,
2073,371,116,
2074,371,112,
2075,371,86,
2076,371,111,
2077,371,55,
2078,371,10,
2079,371,60,
2080,371,120,
2081,371,122,
2082,371,121,
2083,372,33,
2084,373,22,
2085,374,54,
2086,374,34,
2087,374,17,
2088,374,28,
2089,375,22,
2090,375,123,
2091,220,22,
2092,377,92,
2093,377,38,
2094,377,40,
2095,378,33,
2096,378,25,
2097,281,20,
2098,137,112,
2099,180,10,
2100,180,55,
2101,180,112,
2102,180,89,
2103,280,10,
2104,280,55,
2105,280,62,
2106,280,112,
2107,280,86,
2108,379,10,
2109,379,55,
2110,379,62,
2111,379,89,
2112,379,60,
2113,379,86,
2114,379,111,
2115,379,112,
2116,276,10,
2117,276,59,
2118,276,89,
2119,276,112,
2120,276,86,
2121,276,60,
2122,276,111,
2123,380,45,
2124,380,59,
2125,381,10,
2126,381,55,
2127,381,112,
2128,381,86,
2129,381,60,
2130,381,111,
2131,381,89,
2132,181,112,
2133,308,10,
2134,308,55,
2135,308,89,
2136,308,112,
2137,308,86,
2138,308,110,
2139,308,60,
2140,308,111,
2141,381,110,
2142,382,10,
2143,382,55,
2144,382,62,
2145,382,89,
2146,382,112,
2147,382,86,
2148,382,60,
2149,382,111,
2150,312,86,
2151,312,38,
2152,312,,
2153,312,,
2154,312,,
2155,312,,
2156,312,,
2157,383,10,
2158,383,62,
2159,383,55,
2160,383,89,
2161,383,112,
2162,383,86,
2163,383,60,
2164,383,111,
2165,384,10,
2166,384,55,
2167,384,62,
2168,384,89,
2169,384,112,
2170,384,86,
2171,384,60,
2172,384,111,
2173,385,62,
2174,385,10,
2175,385,55,
2176,385,89,
2177,385,112,
2178,385,86,
2179,385,60,
2180,385,111,
2181,79,10,
2182,79,55,
2183,386,62,
2184,386,55,
2185,386,10,
2186,386,89,
2187,386,112,
2188,386,86,
2189,386,60,
2190,386,111,
2191,387,62,
2192,387,10,
2193,387,55,
2194,387,60,
2195,387,89,
2196,387,112,
2197,387,86,
2198,387,111,
2199,388,10,
2200,388,55,
2201,388,62,
2202,388,89,
2203,388,112,
2204,388,86,
2205,388,60,
2206,388,111,
2207,389,10,
2208,389,55,
2209,389,62,
2210,389,89,
2211,389,112,
2212,389,86,
2213,389,60,
2214,389,111,
2215,390,10,
2216,390,55,
2217,390,54,
2218,390,28,
2219,390,17,
2220,390,44,
2221,391,10,
2222,391,55,
2223,391,89,
2224,391,62,
2225,391,112,
2226,391,86,
2227,391,60,
2228,391,111,
2229,392,10,
2230,392,55,
2231,392,62,
2232,392,112,
2233,392,89,
2234,392,86,
2235,392,60,
2236,392,111,
2237,257,110,
2238,304,10,
2239,244,112,
2240,393,10,
2241,393,62,
2242,393,55,
2243,393,89,
2244,393,112,
2245,393,86,
2246,393,60,
2247,393,111,
2248,394,10,
2249,394,55,
2250,394,62,
2251,394,89,
