id_conferma,compratore,venditore,qta,prezzo_acq,articolo,n_conf,data_conf,prezzo_vend,luogo_consegna,condizioni_pag,note,carico,arrivo,emailv,emailc,condizioni_pag_venditore
280,149,19,1200,5.8000,59,"201","01/13/17 00:00:00",6.1000,"PONTE SAN MARCO, BS-  ITALY",2,"Delivery  ADDRESS : '' A. Gandola & C. SpA''- Strada Statale 11, 312 - 25010 Ponte San Marco BS, Italy
Pagamento, 30 GG.Riba netto data fattura.",0,1,0,0,
281,93,250,2000,11.9500,150,"202","01/13/17 00:00:00",12.7000,"RIPALTA CREMASCA",1,"2000 KG OF ORGANIC TURKEY BREAST - FROZEN -DELIVERY DATE TO BE FINALLY AGREED - DELIVERY PERIOD MARCH 2017",0,1,0,0,
282,71,251,23925,4.1000,45,"203","01/20/17 00:00:00",4.1700,"ALBAREDO D'ADIGE , VR- ITALY",1,"GOODS IN 25 KG BAGS,  KOSHER.
Pagamento : Bonifico Bancario 30 GG.netto data fattura valuta fissa.",0,1,0,0,
284,80,250,2000,11.9000,150,"205","01/24/17 00:00:00",12.5000,"SAN GIOVANNI DEL DOSSO",1,"AROUND 2,000 KG OF ORGANIC TURKEY BREAST FROZEN - SAME QUALITY - DELIVERY DATE AFTER 07/02",0,1,0,0,
293,513,14,100,4.1000,46,"212","02/02/17 00:00:00",4.4000,"Via Madonnina 32 - 27018 VIDIGULFO (PV)",1,,0,1,0,0,
285,320,136,75000,0.4150,38,"206","01/26/17 00:00:00",0.4350,"Località San Martino - 58025 Monterotondo Marittimo (GR)",3,"LATTE CRUDO CECO, FATTURAZIONE CON LA MEDIA DELLE PESATE.
Cz origin raw milk, invoicing with the average value.",0,1,0,0,
291,450,26,1000,5.4000,33,"210","02/01/17 00:00:00",5.8000,"CHEF SERVICE - FORLì, ITALY",2,"Pagamento, Riba 30 GG. netto data fattura.",0,1,0,0,
287,93,250,4000,11.9000,150,"208","01/26/17 00:00:00",12.7000,"RIPALTA CREMASCA",1,"2000 kg if frozen organic turket breast - delivery date of July to be finally confimed.",0,1,0,0,
295,526,288,22500,1.2500,159,"214","02/10/17 00:00:00",1.2800,"SPAIN",3,,1,0,0,0,
292,37,246,2000,4.2000,45,"211","02/01/17 00:00:00",4.5000,"PADOVA, ITALIE",2,"Pagamento: 30 GG.Riba netto data fattura.",0,1,0,0,
294,1,77,25000,0.5500,37,"213","02/08/17 00:00:00",0.5800,"VIA DELLE FOSSE NR 10 - 37050 VALLESE DI OPPEANO (VR)",2,"Latte Crudo Biologico. Carico tarda mattinata. Fatturazione con la media della pesate.",1,0,0,0,
296,513,14,120,4.1000,46,"215","02/20/17 00:00:00",4.4000,"Via Madonnina 32 - 27018 VIDIGULFO (PV)",1,,0,1,0,0,
297,263,26,1000,6.5500,70,"216","02/22/17 00:00:00",7.5400,"PINEROLO, ITALY",1,,0,0,0,0,
299,1,297,2000,0.5300,37,"217","03/02/17 00:00:00",0.5700,"Km. 16 Strada Provinciale Rivoltana, 20060 Truccazzano (MI)",1,"Latte Crudo Biologico. Carico dopo le ore 09,00.",1,0,0,0,
401,39,26,4000,5.9200,33,"303","01/04/18 00:00:00",6.0000,"VARESE, ITALY",1,"ORGANIC BUTTER 82% IN 25 KG BLOCS.",0,1,0,0,
199,1,265,100000,0.4000,8,"135","06/28/16 00:00:00",0.4400,"A-5252 Aspach Wildenauerstraße 11, AUSTRIA",2,"LATTE PASTORIZZATO BIOLOGICO AUSTRIACO, PAGAMENTO 30 GIORNI NETTI DATA CARICO. FATTURAZIONE CON LA MEDIA DEI VALORI.",1,0,0,0,
24,62,77,12000,0.5600,37,"15","03/13/15 00:00:00",0.5850,"Sant'Ambrogio di Valpolicella VR - località Cà Verde",1,"Latte crudo fresco - certificato Biologico. Percentuali grasso/proteine conforme reg
CE 834/07 art.29 Reg. CE889/08 reg- CE 853/04. Il fornitore non è equipaggiato di cisterne per il prelevamento del latte con pompa a spinta.",1,0,0,0,
29,463,238,800,8.0190,139,"16","03/17/15 00:00:00",9.1000,"GORDONA, Sondrio - Italy",14,"800 kg fese Bovine BIO PAD, CONGELATE .",0,1,0,0,
30,450,26,1000,5.3500,33,"17","03/24/15 00:00:00",5.6500,"CHEF  SERVICE - 47121 FORLI'  (FC), Italy",1,,0,0,0,0,
